barangay,year,avg_lst,min_lst,max_lst,std_lst,pixel_count
Karuhatan,2020,48.51951799076821,42.25801271,54.10657904000004,1.927525711538375,2213
Pariancillo Villa,2020,42.06081552783022,36.47984990000003,45.899913020000014,1.8362141780635788,106
Poblacion,2020,45.374880733571445,41.20013552000003,48.32670722000003,1.8076158316111535,70
Pulo,2020,42.84050947322583,38.70668993000004,46.53053771000003,2.2121083867385862,62
Isla,2020,43.66149343799215,38.16322474999998,51.382417100000055,2.7490147697992717,508
Arkong Bato,2020,46.02077436151244,40.52849459000001,49.087216670000004,1.5037422836678487,443
Palasan,2020,43.29213160919645,36.881467250000014,46.798852280000006,1.9311572809838053,336
Mabolo,2020,42.40135592375002,39.23819204000003,44.95141247000004,1.0472492173349346,128
Bisig,2020,39.57227223262196,33.495918440000025,43.78415863999999,2.6390505358625,164
Tagalag,2020,35.56663821546156,32.36626282999998,43.83371993000003,3.0448793924622164,1560
Wawang Pulo,2020,35.60672750169585,32.38335293,41.51801138000002,2.294237623464168,743
Balangkas,2020,38.48679925426623,32.441459270000024,45.41455418000004,3.348847868938464,1465
Coloong,2020,36.191225637175926,32.039841920000015,45.97681847000001,3.522510708309819,2291
Malanday,2020,40.49246758748042,31.86039587000002,49.80329186000006,5.411763934076987,2679
Pasolo,2020,43.707249561528684,37.79578760000004,50.992762819999996,2.388373824969345,471
Dalandanan,2020,47.293971423471454,37.28137559000001,53.92713299000002,3.310397870474013,1786
Rincon,2020,47.58205141370065,42.99630503,52.04551298000001,1.5723652683077525,481
Veinte Reales,2020,46.63732134219054,38.29994555000002,53.200803740000026,2.618769206763364,2173
Lingunan,2020,46.93991122931737,36.95666369,55.45669694000003,3.5674792895121703,2461
Bignay,2020,44.263501532403254,37.25061341,59.24386310000003,3.8766288451254014,3824
Canumay West,2020,48.17563558425533,38.142716630000024,53.44519217000004,2.6854964657438463,1974
Canumay East,2020,49.89020959145351,42.91256354000001,55.28066891,1.868851798871279,1548
Malinta,2020,47.19774317972459,37.00964300000004,55.55923754000003,2.8625897985694717,2360
Maysan,2020,47.46343610402986,39.05703698000002,55.26357881000001,3.020371761351277,3618
Marulas,2020,47.344712596524005,37.49329283000003,53.727178820000034,2.365852736225709,2710
Gen T. De Leon,2020,47.472629723677265,39.26040917000003,51.87632099000001,1.8254183709525778,3402
Ugong,2020,45.549447417054076,39.38516690000003,52.03354991000003,1.8630281946174971,3330
Mapulang Lupa,2020,47.4340962383051,42.12129191,56.35050917000001,2.6521866956793048,1003
Paso De Blas,2020,48.090533643902454,41.67011327,55.208890490000016,2.2172707245632797,2091
Punturin,2020,45.196273259157394,37.136109739999995,55.03457147,3.7966590826394766,3050
Bagbaguin,2020,48.03605224233579,38.332416739999985,56.65300394000002,3.186583246649757,2329
Parada,2020,46.27534979127661,38.85879182000002,52.96154234000005,2.4697999027557485,1034
Lawang Bato,2020,48.01909761088722,39.62271928999999,56.22062441,2.656147398574495,2243
Karuhatan,2021,48.33298877776775,43.702126160000034,53.35461464000002,1.6606882165010424,2213
Pariancillo Villa,2021,41.19674974547172,35.72104946000002,44.56346719999999,1.8563335590675505,106
Poblacion,2021,44.16370534657144,40.46867924000003,47.04494971999998,1.6595177715467493,70
Pulo,2021,41.24131714806453,37.084839439999996,45.08642426000006,2.066958984107493,62
Isla,2021,42.71973473059057,36.725947340000005,51.42343334000003,3.1263312645249237,508
Arkong Bato,2021,44.56574330812643,38.13758960000001,48.88726250000002,1.647755685046891,443
Palasan,2021,41.59907745553573,36.28844078000003,45.47266051999998,1.726312123267553,336
Mabolo,2021,42.53022595906252,37.52234600000003,45.018063859999984,1.2146828200143855,128
Bisig,2021,39.058412524634164,32.30644748000003,43.13473484000002,2.7253548457042616,164
Tagalag,2021,34.78381961184618,31.045198099999993,44.423328380000044,3.456273044388201,1560
Wawang Pulo,2021,35.13389986826382,31.44168841999999,41.470159100000046,2.542403406727489,743
Balangkas,2021,37.940263689064864,31.369910000000004,44.50877888000002,3.324070754345804,1465
Coloong,2021,35.37763020391971,30.65212580000002,45.60938132000001,3.774550061200143,2291
Malanday,2021,39.93731683630461,30.450462620000053,50.29206872000003,5.995370320973281,2679
Pasolo,2021,43.13380595133761,36.83532398,50.67146894000001,2.3008042241536333,471
Dalandanan,2021,46.785974420772696,36.97546280000006,53.399048900000025,3.118777057799382,1786
Rincon,2021,46.993153570769245,42.328082119999976,51.191007979999995,1.5891476222714283,481
Veinte Reales,2021,46.679811436189624,38.48964566000001,54.31849627999998,2.6450411797658444,2173
Lingunan,2021,46.92711900127592,36.59264456000005,55.39517258000001,3.2774764020248104,2461
Bignay,2021,45.80768818679751,37.395879260000015,59.80783640000004,3.4899129709285024,3822
Canumay West,2021,48.26484001908816,36.85925012000001,54.01771052000004,2.7889683416056736,1974
Canumay East,2021,49.97016321755817,43.322725940000055,56.09244866000006,2.0136875447404954,1548
Malinta,2021,47.243580131406794,36.53795624000003,54.61928204000003,2.4651790762424652,2360
Maysan,2021,47.351799678557235,39.262118180000016,54.39027470000002,2.870926741691426,3618
Marulas,2021,47.28223724498156,37.92909038000005,53.49133544000006,2.35711719522935,2710
Gen T. De Leon,2021,47.5631032662963,39.463781359999984,52.06602110000006,1.5995315054806387,3402
Ugong,2021,46.595330230864874,41.05657868000003,53.610966140000016,2.0039463515828513,3330
Mapulang Lupa,2021,47.73407435050849,42.24263162,55.74039260000001,2.308105536809236,1003
Paso De Blas,2021,48.30230376682928,42.37251637999998,55.50454922000006,2.0602210034970514,2091
Punturin,2021,45.79266675902298,37.720591160000026,56.25993163999999,3.623571523145712,3050
Bagbaguin,2021,48.61919081635039,40.24992596000004,58.06122818000006,3.0013235915343492,2329
Parada,2021,46.64171261197294,39.56290394000001,52.71886291999999,2.1801129956576872,1034
Lawang Bato,2021,48.028192012741876,39.54581384000005,57.71942618000003,2.6804632328217233,2243
Karuhatan,2022,49.638009819222795,43.22018534000006,55.66519616000005,1.7101213576217174,2213
Pariancillo Villa,2022,40.95871367339625,36.28502276000006,44.98388366000006,1.907019448688971,106
Poblacion,2022,43.19894478714288,39.79191128000002,45.455570420000015,1.6675663419579942,70
Pulo,2022,41.13315335387098,37.495001839999986,44.76171236000005,2.2860650702813774,62
Isla,2022,41.758544444921284,37.09851151999999,46.22804294000002,2.1123554056176888,508
Arkong Bato,2022,44.03168346984201,38.19911395999998,47.34573548000003,1.909588535789344,443
Palasan,2022,41.891145230000014,35.888532440000006,45.30175952000002,2.1551177297561552,336
Mabolo,2022,42.34017870640627,38.27089238000002,46.36476374000006,1.5020686097613878,128
Bisig,2022,39.21776728634148,34.22395670000003,44.44725452,2.460414043505634,164
Tagalag,2022,33.734519641046525,29.40796652000006,40.540457660000015,3.057894174492453,1548
Wawang Pulo,2022,34.30173223503508,29.062746500000003,41.9486819,2.935853405345675,713
Balangkas,2022,37.043093298009694,29.513925140000026,44.82323672000001,3.9733574606707647,1447
Coloong,2022,34.95518769801835,29.551523360000033,46.846704560000035,4.391131642777482,2291
Malanday,2022,40.453325580918275,28.946533820000013,50.90389430000005,6.476845046485383,2679
Pasolo,2022,43.009850113503205,37.31726480000003,50.452715660000024,2.4545482778343275,471
Dalandanan,2022,46.70596289772678,36.09019562000003,53.19738572000006,3.2338543216028426,1786
Rincon,2022,44.363139961289,40.36613864000003,48.67534526000003,1.676788411310442,481
Veinte Reales,2022,46.74609868830191,38.065811180000026,54.10657904000004,2.57583535066238,2173
Lingunan,2022,49.29443465332793,37.75477136000001,57.71600816,3.4532395991690064,2461
Bignay,2022,47.697330642912846,38.99209460000003,59.999245520000045,4.224156226101828,3797
Canumay West,2022,50.128647885349565,38.475973580000016,56.93328158000003,3.10478689791685,1974
Canumay East,2022,51.31009550627909,40.71135866000003,57.16228892000004,2.5921012931982075,1548
Malinta,2022,45.42067185647459,34.61361098000003,55.33706624000001,3.5395969623529435,2360
Maysan,2022,48.86344500353236,39.13565144000006,57.37762418,3.061495326040446,3618
Marulas,2022,48.955679656789684,37.99403275999998,54.041636659999995,2.712329889268634,2710
Gen T. De Leon,2022,49.285463839418014,40.87200560000002,53.68274456000006,1.8644457261932152,3402
Ugong,2022,46.67844394634327,32.94903524000006,53.88440774000003,3.223869586086794,3257
Mapulang Lupa,2022,49.003832998644086,41.48383118000004,57.83222083999999,3.1228446197854813,1003
Paso De Blas,2022,50.564148669756115,44.057600240000056,57.66473786000006,2.124733078511837,2091
Punturin,2022,48.33928040994085,39.754313060000015,59.76682016000001,4.204404507332742,3042
Bagbaguin,2022,49.18666749087468,31.95439141999998,59.34982172000002,4.824879725192295,2218
Parada,2022,47.82513427158609,39.805583360000014,54.591937880000046,3.050716147412385,1034
